Step,X,Y,Z
0,0,3.31886e-05,0,0
0,1,3.844e+08,1022,0
0,2,6.77099e+06,7660,0
60,0,0.0627596,3.33717e-06,0
60,1,3.844e+08,62342,0
60,2,6.75457e+06,466888,0
120,0,0.244965,2.60514e-05,0
120,1,3.844e+08,123662,0
120,2,6.70693e+06,923958,0
180,0,0.546649,8.72022e-05,0
180,1,3.844e+08,184982,0
180,2,6.62828e+06,1.37676e+06,0
240,0,0.967812,0.000205849,0
240,1,3.844e+08,246302,0
240,2,6.519e+06,1.82319e+06,0
300,0,1.50845,0.000401051,0
300,1,3.844e+08,307622,0
300,2,6.37957e+06,2.2612e+06,0
360,0,2.16858,0.000691868,0
360,1,3.844e+08,368942,0
360,2,6.21063e+06,2.68874e+06,0
420,0,2.94818,0.00109736,0
420,1,3.844e+08,430262,0
420,2,6.01294e+06,3.10384e+06,0
480,0,3.84725,0.00163658,0
480,1,3.844e+08,491582,0
480,2,5.78743e+06,3.50457e+06,0
540,0,4.86581,0.0023286,0
540,1,3.844e+08,552902,0
540,2,5.53511e+06,3.88907e+06,0
600,0,6.00385,0.00319247,0
600,1,3.844e+08,614222,0
600,2,5.25714e+06,4.25555e+06,0
660,0,7.26136,0.00424726,0
660,1,3.84399e+08,675542,0
660,2,4.9548e+06,4.60231e+06,0
720,0,8.63836,0.00551201,0
720,1,3.84399e+08,736862,0
720,2,4.62949e+06,4.92772e+06,0
780,0,10.1348,0.00700579,0
780,1,3.84399e+08,798181,0
780,2,4.28269e+06,5.23026e+06,0
840,0,11.7508,0.00874767,0
840,1,3.84399e+08,859501,0
840,2,3.916e+06,5.50851e+06,0
900,0,13.4862,0.0107567,0
900,1,3.84399e+08,920821,0
900,2,3.53112e+06,5.76117e+06,0
960,0,15.3411,0.0130519,0
960,1,3.84399e+08,982141,0
960,2,3.12982e+06,5.98705e+06,0
1020,0,17.3155,0.0156524,0
1020,1,3.84399e+08,1.04346e+06,0
1020,2,2.71397e+06,6.18507e+06,0
1080,0,19.4094,0.0185773,0
1080,1,3.84398e+08,1.10478e+06,0
1080,2,2.28548e+06,6.3543e+06,0
1140,0,21.6227,0.0218455,0
1140,1,3.84398e+08,1.1661e+06,0
1140,2,1.84635e+06,6.49394e+06,0
1200,0,23.9555,0.0254761,0
1200,1,3.84398e+08,1.22742e+06,0
1200,2,1.39861e+06,6.6033e+06,0
1260,0,26.4078,0.0294883,0
1260,1,3.84398e+08,1.28874e+06,0
1260,2,944343,6.68187e+06,0
1320,0,28.9796,0.033901,0
1320,1,3.84398e+08,1.35006e+06,0
1320,2,485673,6.72925e+06,0
1380,0,31.6709,0.0387334,0
1380,1,3.84397e+08,1.41138e+06,0
1380,2,24734.6,6.74519e+06,0
1440,0,34.4816,0.0440044,0
1440,1,3.84397e+08,1.4727e+06,0
1440,2,-436318,6.72962e+06,0
1500,0,37.4118,0.0497332,0
1500,1,3.84397e+08,1.53402e+06,0
1500,2,-895330,6.68257e+06,0
1560,0,40.4615,0.0559388,0
1560,1,3.84397e+08,1.59534e+06,0
1560,2,-1.35015e+06,6.60424e+06,0
1620,0,43.6307,0.0626403,0
1620,1,3.84396e+08,1.65666e+06,0
1620,2,-1.79865e+06,6.49499e+06,0
1680,0,46.9193,0.0698566,0
1680,1,3.84396e+08,1.71798e+06,0
1680,2,-2.23872e+06,6.3553e+06,0
1740,0,50.3275,0.077607,0
1740,1,3.84396e+08,1.7793e+06,0
1740,2,-2.66829e+06,6.18582e+06,0
1800,0,53.8551,0.0859104,0
1800,1,3.84396e+08,1.84062e+06,0
1800,2,-3.08535e+06,5.98732e+06,0
1860,0,57.5021,0.0947859,0
1860,1,3.84395e+08,1.90193e+06,0
1860,2,-3.48792e+06,5.76071e+06,0
1920,0,61.2687,0.104253,0
1920,1,3.84395e+08,1.96325e+06,0
1920,2,-3.87411e+06,5.50705e+06,0
1980,0,65.1547,0.114329,0
1980,1,3.84395e+08,2.02457e+06,0
1980,2,-4.24209e+06,5.22751e+06,0
2040,0,69.1602,0.125036,0
2040,1,3.84394e+08,2.08589e+06,0
2040,2,-4.59014e+06,4.9234e+06,0
2100,0,73.2852,0.13639,0
2100,1,3.84394e+08,2.14721e+06,0
2100,2,-4.91659e+06,4.59613e+06,0
2160,0,77.5297,0.148412,0
2160,1,3.84394e+08,2.20853e+06,0
2160,2,-5.21992e+06,4.24724e+06,0
2220,0,81.8936,0.16112,0
2220,1,3.84393e+08,2.26985e+06,0
2220,2,-5.49867e+06,3.87836e+06,0
2280,0,86.3771,0.174534,0
2280,1,3.84393e+08,2.33117e+06,0
2280,2,-5.75154e+06,3.49122e+06,0
2340,0,90.98,0.188672,0
2340,1,3.84393e+08,2.39249e+06,0
2340,2,-5.97733e+06,3.08765e+06,0
2400,0,95.7023,0.203554,0
2400,1,3.84392e+08,2.45381e+06,0
2400,2,-6.17495e+06,2.66952e+06,0
2460,0,100.544,0.219199,0
2460,1,3.84392e+08,2.51512e+06,0
2460,2,-6.34349e+06,2.23883e+06,0
2520,0,105.506,0.235626,0
2520,1,3.84391e+08,2.57644e+06,0
2520,2,-6.48214e+06,1.79758e+06,0
2580,0,110.586,0.252853,0
2580,1,3.84391e+08,2.63776e+06,0
2580,2,-6.59024e+06,1.34786e+06,0
2640,0,115.787,0.2709,0
2640,1,3.84391e+08,2.69908e+06,0
2640,2,-6.66729e+06,891793,0
2700,0,121.106,0.289786,0
2700,1,3.8439e+08,2.7604e+06,0
2700,2,-6.71292e+06,431522,0
2760,0,126.546,0.30953,0
2760,1,3.8439e+08,2.82172e+06,0
2760,2,-6.72691e+06,-30782.4,0
2820,0,132.104,0.330151,0
2820,1,3.84389e+08,2.88304e+06,0
2820,2,-6.70921e+06,-492942,0
2880,0,137.782,0.351669,0
2880,1,3.84389e+08,2.94435e+06,0
2880,2,-6.6599e+06,-952779,0
2940,0,143.58,0.374101,0
2940,1,3.84388e+08,3.00567e+06,0
2940,2,-6.57923e+06,-1.40813e+06,0
3000,0,149.497,0.397468,0
3000,1,3.84388e+08,3.06699e+06,0
3000,2,-6.46757e+06,-1.85685e+06,0
3060,0,155.534,0.421787,0
3060,1,3.84387e+08,3.12831e+06,0
3060,2,-6.32546e+06,-2.29683e+06,0
3120,0,161.69,0.44708,0
3120,1,3.84387e+08,3.18963e+06,0
3120,2,-6.15358e+06,-2.72599e+06,0
3180,0,167.965,0.473363,0
3180,1,3.84386e+08,3.25094e+06,0
3180,2,-5.95275e+06,-3.14234e+06,0
3240,0,174.361,0.500657,0
3240,1,3.84386e+08,3.31226e+06,0
3240,2,-5.72393e+06,-3.5439e+06,0
3300,0,180.875,0.528981,0
3300,1,3.84385e+08,3.37358e+06,0
3300,2,-5.4682e+06,-3.92881e+06,0
3360,0,187.509,0.558353,0
3360,1,3.84385e+08,3.4349e+06,0
3360,2,-5.18678e+06,-4.29526e+06,0
3420,0,194.262,0.588793,0
3420,1,3.84384e+08,3.49621e+06,0
3420,2,-4.881e+06,-4.64154e+06,0
3480,0,201.135,0.620319,0
3480,1,3.84384e+08,3.55753e+06,0
3480,2,-4.55231e+06,-4.96603e+06,0
3540,0,208.128,0.652952,0
3540,1,3.84383e+08,3.61885e+06,0
3540,2,-4.20226e+06,-5.26723e+06,0
3600,0,215.24,0.686709,0
3600,1,3.84383e+08,3.68017e+06,0
3600,2,-3.83251e+06,-5.54374e+06,0
3660,0,222.471,0.72161,0
3660,1,3.84382e+08,3.74148e+06,0
3660,2,-3.4448e+06,-5.79426e+06,0
3720,0,229.822,0.757673,0
3720,1,3.84381e+08,3.8028e+06,0
3720,2,-3.04096e+06,-6.01766e+06,0
3780,0,237.292,0.794919,0
3780,1,3.84381e+08,3.86412e+06,0
3780,2,-2.62289e+06,-6.2129e+06,0
3840,0,244.882,0.833366,0
3840,1,3.8438e+08,3.92543e+06,0
3840,2,-2.19255e+06,-6.37909e+06,0
3900,0,252.591,0.873033,0
3900,1,3.84379e+08,3.98675e+06,0
3900,2,-1.75196e+06,-6.51546e+06,0
3960,0,260.42,0.913939,0
3960,1,3.84379e+08,4.04807e+06,0
3960,2,-1.30319e+06,-6.6214e+06,0
4020,0,268.368,0.956103,0
4020,1,3.84378e+08,4.10938e+06,0
4020,2,-848339,-6.69644e+06,0
4080,0,276.436,0.999545,0
4080,1,3.84378e+08,4.1707e+06,0
4080,2,-389527,-6.74026e+06,0
4140,0,284.623,1.04428,0
4140,1,3.84377e+08,4.23202e+06,0
4140,2,71102.4,-6.75265e+06,0
4200,0,292.929,1.09034,0
4200,1,3.84376e+08,4.29333e+06,0
4200,2,531402,-6.7336e+06,0
4260,0,301.356,1.13772,0
4260,1,3.84376e+08,4.35465e+06,0
4260,2,989230,-6.6832e+06,0
4320,0,309.901,1.18647,0
4320,1,3.84375e+08,4.41597e+06,0
4320,2,1.44246e+06,-6.60172e+06,0
4380,0,318.566,1.23658,0
4380,1,3.84374e+08,4.47728e+06,0
4380,2,1.88898e+06,-6.48954e+06,0
4440,0,327.351,1.28808,0
4440,1,3.84373e+08,4.5386e+06,0
4440,2,2.32673e+06,-6.34722e+06,0
4500,0,336.255,1.341,0
4500,1,3.84373e+08,4.59991e+06,0
4500,2,2.75368e+06,-6.17543e+06,0
4560,0,345.278,1.39535,0
4560,1,3.84372e+08,4.66123e+06,0
4560,2,3.16786e+06,-5.97498e+06,0
4620,0,354.421,1.45114,0
4620,1,3.84371e+08,4.72254e+06,0
4620,2,3.56734e+06,-5.74682e+06,0
4680,0,363.683,1.5084,0
4680,1,3.8437e+08,4.78386e+06,0
4680,2,3.95029e+06,-5.49203e+06,0
4740,0,373.065,1.56715,0
4740,1,3.8437e+08,4.84517e+06,0
4740,2,4.31494e+06,-5.21178e+06,0
4800,0,382.566,1.62741,0
4800,1,3.84369e+08,4.90649e+06,0
4800,2,4.65961e+06,-4.90741e+06,0
4860,0,392.187,1.68919,0
4860,1,3.84368e+08,4.9678e+06,0
4860,2,4.98271e+06,-4.58031e+06,0
4920,0,401.927,1.75251,0
4920,1,3.84367e+08,5.02912e+06,0
4920,2,5.28276e+06,-4.23202e+06,0
4980,0,411.787,1.8174,0
4980,1,3.84367e+08,5.09043e+06,0
4980,2,5.55837e+06,-3.86416e+06,0
5040,0,421.766,1.88387,0
5040,1,3.84366e+08,5.15175e+06,0
5040,2,5.80828e+06,-3.47842e+06,0
5100,0,431.865,1.95194,0
5100,1,3.84365e+08,5.21306e+06,0
5100,2,6.03134e+06,-3.07661e+06,0
5160,0,442.083,2.02163,0
5160,1,3.84364e+08,5.27438e+06,0
5160,2,6.22653e+06,-2.66057e+06,0
5220,0,452.421,2.09297,0
5220,1,3.84363e+08,5.33569e+06,0
5220,2,6.39294e+06,-2.23224e+06,0
5280,0,462.878,2.16596,0
5280,1,3.84362e+08,5.39701e+06,0
5280,2,6.52982e+06,-1.7936e+06,0
5340,0,473.454,2.24062,0
5340,1,3.84362e+08,5.45832e+06,0
5340,2,6.63653e+06,-1.34666e+06,0
5400,0,484.15,2.31699,0
5400,1,3.84361e+08,5.51963e+06,0
5400,2,6.71259e+06,-893511,0
5460,0,494.966,2.39506,0
5460,1,3.8436e+08,5.58095e+06,0
5460,2,6.75763e+06,-436229,0
5520,0,505.901,2.47488,0
5520,1,3.84359e+08,5.64226e+06,0
5520,2,6.77145e+06,23067.4,0
5580,0,516.955,2.55645,0
5580,1,3.84358e+08,5.70357e+06,0
5580,2,6.75399e+06,482258,0
5640,0,528.129,2.63979,0
5640,1,3.84357e+08,5.76489e+06,0
5640,2,6.70532e+06,939219,0
5700,0,539.422,2.72492,0
5700,1,3.84356e+08,5.8262e+06,0
5700,2,6.62565e+06,1.39184e+06,0
5760,0,550.835,2.81186,0
5760,1,3.84355e+08,5.88751e+06,0
5760,2,6.51536e+06,1.83802e+06,0
5820,0,562.367,2.90063,0
5820,1,3.84354e+08,5.94883e+06,0
5820,2,6.37494e+06,2.27571e+06,0
5880,0,574.019,2.99126,0
5880,1,3.84353e+08,6.01014e+06,0
5880,2,6.20503e+06,2.70287e+06,0
5940,0,585.79,3.08375,0
5940,1,3.84352e+08,6.07145e+06,0
5940,2,6.00641e+06,3.11752e+06,0
6000,0,597.681,3.17812,0
6000,1,3.84351e+08,6.13276e+06,0
6000,2,5.77999e+06,3.51774e+06,0
6060,0,609.691,3.27441,0
6060,1,3.8435e+08,6.19408e+06,0
6060,2,5.5268e+06,3.90166e+06,0
6120,0,621.82,3.37261,0
6120,1,3.84349e+08,6.25539e+06,0
6120,2,5.24801e+06,4.26751e+06,0
6180,0,634.07,3.47277,0
6180,1,3.84348e+08,6.3167e+06,0
6180,2,4.94489e+06,4.61357e+06,0
6240,0,646.438,3.57488,0
6240,1,3.84347e+08,6.37801e+06,0
6240,2,4.61884e+06,4.93824e+06,0
6300,0,658.926,3.67898,0
6300,1,3.84346e+08,6.43932e+06,0
6300,2,4.27136e+06,5.23999e+06,0
6360,0,671.533,3.78508,0
6360,1,3.84345e+08,6.50063e+06,0
6360,2,3.90404e+06,5.5174e+06,0
6420,0,684.26,3.8932,0
6420,1,3.84344e+08,6.56195e+06,0
6420,2,3.5186e+06,5.76918e+06,0
6480,0,697.107,4.00336,0
6480,1,3.84343e+08,6.62326e+06,0
6480,2,3.11679e+06,5.99414e+06,0
6540,0,710.072,4.11558,0
6540,1,3.84342e+08,6.68457e+06,0
6540,2,2.70049e+06,6.19122e+06,0
6600,0,723.158,4.22988,0
6600,1,3.84341e+08,6.74588e+06,0
6600,2,2.27163e+06,6.35947e+06,0
6660,0,736.362,4.34627,0
6660,1,3.8434e+08,6.80719e+06,0
6660,2,1.83218e+06,6.4981e+06,0
6720,0,749.687,4.46478,0
6720,1,3.84339e+08,6.8685e+06,0
